;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-3;eval-saturation_features-31;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-3;train-saturation_features-31;train-saturation_features-7;training_accuracy;training_loss
0;37.5;50.0;3.12;9.38;4.69;16.02;12.11;30.27;54.49;7.81;54.49;3.91;0.5706;0.03745864563584328;72.66;50.0;23.44;32.03;20.7;37.5;26.76;45.9;66.02;34.38;69.14;21.09;0.42556;0.049208365494012835
1;34.38;60.0;4.69;13.28;6.64;20.7;13.48;31.84;56.05;12.5;56.05;6.25;0.6571;0.030076783502101898;68.75;60.0;35.94;32.81;22.27;39.84;27.54;45.7;65.04;40.62;67.19;21.09;0.57574;0.03698097290635109
2;33.2;60.0;6.25;15.62;8.2;22.66;14.26;32.42;56.64;17.19;56.64;7.81;0.7071;0.026116864031553267;66.02;60.0;43.75;31.25;22.66;41.41;28.32;45.9;64.45;43.75;66.21;21.09;0.65348;0.030819400035738943
3;32.03;70.0;9.38;16.41;8.98;24.61;15.23;33.59;57.03;20.31;57.23;9.38;0.7454;0.022884127375483513;64.06;70.0;48.44;29.69;23.05;42.19;29.1;46.29;64.26;43.75;65.82;21.09;0.69896;0.026859469323158264
4;31.25;70.0;10.94;17.19;9.77;25.78;16.21;34.38;57.23;23.44;57.62;10.16;0.7468;0.02226755955517292;62.5;70.0;53.12;28.12;23.44;42.58;29.88;46.88;64.06;42.19;65.62;20.31;0.73244;0.02416554804444313
5;30.47;70.0;12.5;17.97;10.55;27.34;16.99;35.16;57.42;25.0;57.81;10.94;0.7777;0.020143336875736714;60.94;70.0;56.25;26.56;23.83;43.36;30.66;47.27;63.87;42.19;65.23;21.09;0.75522;0.022254675448536872
6;30.08;70.0;14.06;17.97;10.94;28.52;17.77;35.94;57.42;26.56;58.01;11.72;0.7967;0.018166015419363975;59.77;70.0;57.81;25.78;24.22;43.75;31.45;47.66;63.67;40.62;65.04;21.09;0.77134;0.02071548209041357
7;29.69;70.0;15.62;17.97;11.72;29.69;18.36;36.72;57.42;28.12;58.2;11.72;0.808;0.01732563321888447;58.59;70.0;59.38;24.22;24.61;44.14;32.03;48.24;63.48;40.62;64.84;21.09;0.78726;0.01928976556122303
8;29.69;70.0;17.19;17.97;12.11;30.47;18.75;37.5;57.42;28.12;58.59;12.5;0.8155;0.016903391647338867;57.42;70.0;60.94;23.44;25.0;44.53;32.62;48.83;63.28;39.06;64.65;21.09;0.79944;0.018225603618621827
9;29.3;70.0;18.75;17.97;12.89;31.25;19.34;38.28;57.62;28.12;58.79;13.28;0.8299;0.015523070672899484;56.64;70.0;62.5;22.66;25.39;44.92;33.2;49.41;63.28;39.06;64.65;21.09;0.80856;0.017336414172053338
10;29.3;70.0;20.31;17.97;13.28;32.03;19.92;38.87;57.62;29.69;58.98;13.28;0.8296;0.015695791547000407;55.86;70.0;62.5;21.88;25.78;45.31;33.79;50.0;63.09;37.5;64.65;21.09;0.819;0.01643110353589058
11;29.3;70.0;21.88;17.97;13.67;32.81;20.51;39.65;57.62;29.69;59.38;14.06;0.8363;0.01488705552816391;55.08;70.0;62.5;21.09;26.17;45.7;34.38;50.59;62.89;37.5;64.65;21.09;0.82892;0.015520502486824989
