;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
31;48.44;40.0;31.25;21.48;24.61;49.41;37.3;55.66;22.66;18.36;0.6049;0.18080219284892082;59.77;50.0;56.25;24.61;43.95;63.48;43.55;61.72;30.47;26.17;0.63646;0.16053759719967842
32;48.83;40.0;31.25;21.48;25.0;49.8;37.11;56.05;22.66;18.75;0.6237;0.17108559203743934;59.77;50.0;56.25;24.61;44.14;63.67;43.36;62.11;30.47;26.17;0.6387;0.1581830495917797
33;49.22;40.0;32.81;21.88;25.39;50.2;37.11;56.64;22.66;18.75;0.6259;0.1705679153263569;59.77;50.0;56.25;24.61;44.34;63.87;43.16;62.3;30.47;26.17;0.6497;0.15296583430588245
34;49.22;40.0;32.81;21.88;25.59;50.59;37.11;57.03;22.66;19.14;0.6235;0.17260785432457923;59.77;50.0;56.25;24.61;44.53;64.06;42.97;62.7;29.69;26.17;0.65666;0.1511214274585247
35;49.22;40.0;32.81;21.88;25.98;50.98;37.11;57.42;22.66;19.14;0.6291;0.1702443063288927;59.77;50.0;56.25;24.61;44.92;64.26;42.77;62.89;29.69;26.17;0.6624;0.1464266980677843
36;49.61;40.0;32.81;22.27;26.37;51.37;37.11;57.81;22.66;19.53;0.628;0.16991233948469162;60.16;50.0;56.25;24.61;45.12;64.45;42.77;63.09;29.69;26.56;0.66698;0.14400303863704206
37;49.61;40.0;32.81;22.27;26.56;51.76;37.11;58.2;22.66;19.53;0.6286;0.17191758204698562;60.16;50.0;56.25;24.61;45.31;64.65;42.58;63.48;29.69;26.56;0.67282;0.14174671586513518
38;49.61;41.0;34.38;22.27;26.95;52.15;37.11;58.59;22.66;19.92;0.6303;0.1704601241707802;60.16;50.0;56.25;24.61;45.51;64.84;42.58;63.67;28.91;26.56;0.6801;0.1376126515185833
39;50.0;41.0;34.38;22.66;27.34;52.34;37.11;58.98;22.66;19.92;0.6273;0.17209218335151671;60.16;50.0;56.25;24.61;45.7;65.04;42.38;63.87;28.91;26.56;0.68996;0.13382105948746204
40;50.0;41.0;34.38;22.66;27.54;52.73;37.11;59.38;22.66;20.31;0.6369;0.17033327930867673;60.16;51.0;56.25;24.61;45.9;65.23;42.38;64.26;28.91;26.56;0.69328;0.13211016842484474
41;50.0;41.0;34.38;22.66;27.93;53.12;37.11;59.77;22.66;20.31;0.6349;0.17085467357635498;60.16;51.0;56.25;24.61;46.29;65.43;42.38;64.45;28.91;26.56;0.70178;0.12776993071436882
42;50.39;41.0;34.38;22.66;28.32;53.52;37.11;60.16;22.66;20.31;0.6379;0.17106510478854178;60.16;51.0;54.69;24.61;46.48;65.62;42.19;64.65;28.91;26.56;0.70488;0.12610914813637733
43;50.39;41.0;34.38;23.05;28.52;53.91;37.11;60.35;22.66;20.7;0.6399;0.1704322033703327;60.16;51.0;54.69;24.61;46.68;65.82;42.19;64.84;28.12;26.56;0.71026;0.12395817454099656
44;50.39;41.0;34.38;23.05;28.91;54.1;37.11;60.74;22.66;20.7;0.638;0.17279843557476998;60.16;51.0;54.69;24.61;46.88;66.02;42.19;65.23;28.12;26.56;0.71736;0.12035449748635292
45;50.39;41.0;34.38;23.05;29.3;54.49;37.3;61.13;22.66;20.7;0.6316;0.17096850845217704;60.16;51.0;54.69;24.61;47.07;66.21;42.19;65.43;28.12;26.56;0.72234;0.1183113610446453
46;50.39;41.0;34.38;23.05;29.49;54.88;37.3;61.52;22.66;21.09;0.6403;0.17077041772007942;60.16;51.0;54.69;24.61;47.27;66.41;41.99;65.62;28.12;26.56;0.72492;0.11592229476094246
47;50.39;41.0;34.38;23.05;29.88;55.08;37.3;61.72;22.66;21.09;0.6477;0.1689268571317196;60.16;51.0;54.69;24.61;47.66;66.41;41.99;65.82;28.12;26.56;0.73014;0.1146207959485054
48;50.78;42.0;34.38;23.44;30.27;55.47;37.5;62.11;22.66;21.48;0.6418;0.17356428794264794;60.16;51.0;54.69;24.61;47.85;66.6;41.99;66.02;27.34;26.56;0.73916;0.11069044539451599
49;50.78;42.0;34.38;23.44;30.47;55.66;37.5;62.3;22.66;21.48;0.6397;0.17131133350133895;60.16;51.0;54.69;24.61;48.05;66.8;41.99;66.21;27.34;26.56;0.74262;0.10838143042862415
