;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-24;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-24;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-7;training_accuracy;training_loss
19;38.28;26.0;28.12;27.34;18.36;40.62;42.97;27.34;49.8;32.81;50.39;58.59;62.3;60.16;23.44;0.5709;0.04855243101716042;57.42;31.0;59.38;28.91;28.91;49.22;51.95;41.99;59.38;37.5;59.38;63.09;66.99;64.84;31.25;0.58462;0.04618278957128525
20;38.67;26.0;29.69;27.34;18.75;41.02;43.36;27.73;50.2;32.81;50.98;58.79;62.7;60.55;23.44;0.5668;0.04916495034098625;57.03;31.0;59.38;28.91;28.91;49.22;51.95;42.58;59.77;37.5;59.96;63.09;67.38;65.23;31.25;0.59594;0.04462965190052986
21;39.06;27.0;29.69;27.34;19.14;41.02;44.14;27.93;50.78;32.81;51.56;58.79;63.09;61.13;24.22;0.58;0.04719656710624695;57.03;31.0;59.38;28.91;28.91;49.22;52.34;42.97;60.35;37.5;60.55;63.09;67.58;65.43;31.25;0.60628;0.04331570307135582
22;39.45;27.0;29.69;27.34;19.14;41.41;44.53;28.32;51.37;32.81;52.15;58.98;63.28;61.52;24.22;0.5777;0.04822901205420494;56.64;32.0;60.94;28.12;28.91;49.22;52.73;43.55;60.74;35.94;60.94;63.09;67.77;65.82;31.25;0.61766;0.042088530954122544
23;39.84;27.0;31.25;27.34;19.53;41.41;44.92;28.91;51.76;32.81;52.73;58.98;63.67;61.91;24.22;0.5798;0.04740115580558777;56.64;32.0;60.94;28.12;28.91;49.22;52.73;43.95;61.13;35.94;61.52;63.09;67.97;66.02;31.25;0.62972;0.040429579519033434
24;40.23;27.0;31.25;27.34;19.53;41.8;45.31;29.3;52.34;32.81;53.12;58.98;64.06;62.3;25.0;0.5809;0.04778439095020294;56.64;32.0;60.94;28.12;28.91;48.83;53.12;44.34;61.52;35.94;61.91;63.09;68.16;66.41;31.25;0.64136;0.039187211779356
25;40.23;27.0;32.81;27.34;19.92;41.8;45.7;29.49;52.73;32.81;53.71;58.98;64.26;62.7;25.0;0.5965;0.04628833795785904;56.64;32.0;60.94;27.34;28.91;48.83;53.12;44.73;61.91;35.94;62.5;62.89;68.36;66.6;31.25;0.65016;0.038097536286115646
26;40.62;28.0;32.81;26.56;19.92;41.8;46.09;29.88;53.12;32.81;54.3;58.98;64.45;63.09;25.78;0.5929;0.046966612637043;56.64;33.0;60.94;27.34;28.91;48.83;53.52;45.12;62.11;34.38;62.89;62.89;68.55;66.99;32.03;0.66124;0.03693376820445061
27;41.02;28.0;32.81;27.34;20.31;42.19;46.48;30.27;53.52;32.81;54.69;58.98;64.84;63.48;25.78;0.5926;0.04748794161081314;56.25;33.0;60.94;27.34;28.91;48.83;53.52;45.51;62.5;34.38;63.48;62.89;68.75;67.19;32.03;0.6709;0.035395587980747226
28;41.02;28.0;32.81;26.56;20.31;42.19;46.48;30.66;53.91;32.81;55.27;58.98;65.04;63.87;25.78;0.6043;0.045210609674453735;56.25;33.0;60.94;27.34;28.91;48.83;53.91;45.9;62.89;34.38;63.87;62.89;68.95;67.38;32.03;0.67908;0.034411457143425944
29;41.41;28.0;34.38;26.56;20.7;42.58;46.88;30.86;54.3;32.81;55.66;59.18;65.23;64.26;25.78;0.6054;0.045869215798377994;56.25;33.0;60.94;26.56;28.91;48.83;54.3;46.29;63.09;34.38;64.26;62.89;69.14;67.77;32.03;0.6834;0.03373151284813881
30;41.8;28.0;34.38;26.56;20.7;42.58;47.27;31.25;54.69;32.81;56.05;59.18;65.43;64.65;25.78;0.6104;0.04530011941790581;56.25;34.0;60.94;26.56;28.91;48.44;54.3;46.68;63.48;32.81;64.65;62.89;69.34;67.97;32.03;0.69694;0.03217054565310478
31;41.8;29.0;34.38;26.56;21.09;42.58;47.27;31.64;55.08;32.81;56.64;59.18;65.62;64.84;26.56;0.6128;0.04560843681693077;56.25;34.0;60.94;26.56;28.91;48.44;54.69;47.07;63.67;32.81;65.04;62.89;69.34;68.16;32.03;0.70452;0.031157923904657363
32;42.19;29.0;35.94;26.56;21.09;42.58;47.66;31.84;55.47;32.81;57.03;59.18;65.82;65.23;26.56;0.6134;0.045357601630687715;56.25;34.0;60.94;26.56;28.91;48.44;54.69;47.27;63.87;32.81;65.43;62.89;69.53;68.55;32.03;0.71624;0.03004905199587345
33;42.19;29.0;35.94;26.56;21.09;42.97;48.05;32.23;55.66;32.81;57.42;59.18;66.02;65.62;26.56;0.6191;0.044783598864078525;56.25;34.0;60.94;26.56;28.52;48.44;54.69;47.66;64.26;32.81;65.82;62.89;69.73;68.75;32.03;0.72134;0.029257536026239397
34;42.58;29.0;35.94;26.56;21.48;42.97;48.44;32.42;56.05;32.81;57.81;59.18;66.21;65.82;26.56;0.6124;0.04582242940664291;56.25;34.0;60.94;25.78;28.52;48.44;55.08;48.05;64.45;31.25;66.21;62.89;69.73;68.95;32.03;0.72982;0.02817808721780777
35;42.58;29.0;35.94;26.56;21.48;42.97;48.44;32.81;56.25;32.81;58.2;59.38;66.41;66.21;26.56;0.6152;0.045342969900369644;56.25;34.0;60.94;25.78;28.52;48.05;55.08;48.24;64.65;31.25;66.6;62.7;69.92;69.14;32.03;0.73686;0.02749033693432808
36;42.97;29.0;37.5;26.56;21.48;43.36;48.83;33.01;56.64;32.81;58.59;59.38;66.6;66.41;26.56;0.6173;0.045758671569824216;56.25;35.0;60.94;25.78;28.52;48.05;55.08;48.63;64.84;31.25;66.99;62.7;69.92;69.34;32.03;0.74696;0.026130478466153146
37;42.97;29.0;37.5;26.56;21.88;43.36;48.83;33.2;56.84;32.81;58.98;59.38;66.8;66.8;27.34;0.6133;0.047159338462352755;56.25;35.0;60.94;25.78;28.52;48.05;55.47;48.83;65.04;31.25;67.19;62.7;70.12;69.53;32.03;0.75562;0.025257751618325712
38;43.36;30.0;37.5;26.56;21.88;43.36;49.22;33.59;57.23;31.25;59.38;59.38;66.8;66.99;27.34;0.6156;0.04627890109419823;56.25;35.0;60.94;25.78;28.52;48.05;55.47;49.22;65.23;31.25;67.58;62.7;70.12;69.73;32.03;0.7622;0.02454830164194107
