;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
26;40.62;25.0;28.12;30.16;35.55;55.08;29.69;17.58;31.25;21.43;0.5786;0.012744212245941163;47.66;34.0;31.25;33.33;52.73;64.84;35.16;23.05;37.5;26.19;0.6666;0.00897035865187645
27;40.62;25.0;28.12;30.16;36.33;55.86;30.08;17.97;31.25;22.22;0.5737;0.013044700074195862;47.66;34.0;31.25;33.33;53.12;65.23;35.55;23.44;37.5;26.19;0.67792;0.008593028430938721
28;41.41;26.0;28.12;30.16;36.72;56.25;30.47;18.36;31.25;22.22;0.5827;0.012761817455291749;47.66;34.0;31.25;33.33;53.52;65.23;35.55;23.83;35.94;26.19;0.68612;0.008340090485811233
29;41.41;26.0;28.12;30.16;37.11;56.64;30.86;18.75;31.25;22.22;0.5729;0.013206287789344788;48.44;34.0;31.25;33.33;53.52;65.62;35.94;24.22;35.94;26.19;0.69406;0.008156637398004532
30;41.41;26.0;28.12;30.95;37.89;57.42;31.25;19.53;31.25;22.22;0.5696;0.013382333505153656;48.44;35.0;31.25;33.33;53.91;65.62;36.33;24.61;35.94;26.19;0.70154;0.007912256171703339
31;42.19;26.0;28.12;30.16;38.28;57.81;31.64;19.92;31.25;22.22;0.5815;0.013051380586624145;48.44;35.0;31.25;32.54;54.3;66.02;36.72;25.0;35.94;25.4;0.70814;0.007707546297311783
32;42.19;27.0;28.12;30.95;38.67;58.2;32.03;20.31;31.25;22.22;0.5815;0.01302013531923294;48.44;35.0;31.25;32.54;54.3;66.02;36.72;25.39;34.38;25.4;0.7182;0.007506462996006012
33;42.19;27.0;28.12;30.95;39.06;58.59;32.42;20.7;31.25;22.22;0.5796;0.0132861722946167;48.44;35.0;31.25;32.54;54.69;66.02;37.11;25.78;34.38;25.4;0.72104;0.007333502999544144
34;42.19;27.0;28.12;30.95;39.45;58.98;32.81;21.09;31.25;22.22;0.5875;0.013172210597991943;49.22;35.0;31.25;32.54;54.69;66.02;37.5;26.17;34.38;25.4;0.7265;0.007174368764162064
35;42.19;27.0;28.12;30.95;39.84;58.98;33.2;21.48;31.25;22.22;0.5848;0.01331039606332779;49.22;35.0;31.25;31.75;55.08;66.41;37.89;26.56;34.38;24.6;0.73584;0.006879398554563522
36;42.97;27.0;28.12;30.95;40.62;59.38;33.98;21.88;29.69;22.22;0.5914;0.013415914082527161;49.22;36.0;31.25;31.75;55.08;66.41;38.28;26.95;32.81;24.6;0.74516;0.006685074715614319
37;42.97;27.0;28.12;30.95;41.02;59.77;34.38;22.66;29.69;22.22;0.5867;0.013569727218151093;49.22;36.0;31.25;31.75;55.47;66.41;38.67;27.34;32.81;24.6;0.7477;0.006544310724139213
38;42.97;28.0;28.12;30.95;41.41;59.77;34.77;23.05;29.69;22.22;0.5862;0.01364424353837967;49.22;36.0;31.25;31.75;55.47;66.41;39.06;27.73;32.81;24.6;0.75452;0.006353085869550705
39;43.75;28.0;28.12;30.95;41.8;60.16;35.16;23.44;29.69;22.22;0.5886;0.01347808313369751;50.0;36.0;31.25;30.95;55.86;66.8;39.45;28.12;32.81;23.81;0.7607;0.006165902757048607
40;43.75;28.0;28.12;30.95;41.8;60.55;35.55;23.83;29.69;22.22;0.582;0.013854512107372284;50.0;36.0;31.25;30.95;55.86;66.8;39.84;28.52;32.81;23.81;0.76402;0.006035209966897964
41;43.75;28.0;25.0;30.95;42.19;60.55;35.94;24.22;29.69;22.22;0.5906;0.013788364994525909;50.0;36.0;31.25;30.95;55.86;66.8;40.23;28.91;31.25;23.81;0.7695;0.005947086924910546
42;43.75;28.0;25.0;30.95;42.58;60.94;36.33;24.61;29.69;22.22;0.5905;0.013942701864242554;50.0;36.0;31.25;30.95;56.25;66.8;40.23;28.91;31.25;23.81;0.7778;0.005703169386982918
43;43.75;28.0;25.0;30.95;42.97;60.94;36.72;25.0;29.69;22.22;0.596;0.013498253846168519;50.78;36.0;31.25;30.16;56.25;66.8;40.62;29.3;31.25;23.81;0.77962;0.005596297881007194
44;44.53;28.0;25.0;30.95;43.36;61.33;37.5;25.39;29.69;22.22;0.5949;0.013820448100566865;50.78;37.0;31.25;30.16;56.25;66.8;41.02;29.69;31.25;23.02;0.787;0.005436135013103485
45;44.53;28.0;25.0;30.16;43.75;61.33;37.89;25.78;29.69;21.43;0.592;0.014267069947719573;50.78;37.0;31.25;30.16;56.64;66.8;41.41;30.08;31.25;23.02;0.79238;0.005277312381267547
46;44.53;28.0;25.0;30.16;44.14;61.72;38.28;26.17;28.12;21.43;0.5934;0.014391655600070953;50.78;37.0;31.25;30.16;56.64;66.8;42.19;30.47;29.69;23.02;0.79502;0.005157848507761955
47;44.53;28.0;25.0;30.16;44.14;61.72;38.67;26.56;28.12;21.43;0.5984;0.014015291118621827;50.78;37.0;31.25;30.16;56.64;66.8;42.58;30.86;29.69;23.02;0.80016;0.005031061175465584
48;45.31;28.0;25.0;30.16;44.53;61.72;39.06;26.95;28.12;21.43;0.5948;0.013987460464239121;50.78;37.0;31.25;29.37;56.64;66.8;42.97;31.25;29.69;23.02;0.80404;0.004983639194965362
49;45.31;29.0;25.0;30.16;44.92;62.11;39.45;27.34;28.12;21.43;0.5979;0.014300696206092834;50.78;37.0;31.25;29.37;56.64;66.8;43.36;31.64;29.69;22.22;0.80744;0.004861093989014626
