;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
27;53.91;9.0;9.38;26.98;22.66;41.41;61.33;68.36;14.06;14.29;0.1849;0.006875610709190369;67.97;11.0;9.38;30.95;25.0;45.31;64.06;71.09;15.62;16.67;0.16644;0.006912708568572998
28;53.91;9.0;9.38;26.98;22.66;41.41;61.33;68.36;14.06;14.29;0.1887;0.00682559814453125;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.17144;0.006866814846992492
29;53.91;9.0;9.38;27.78;22.66;41.41;61.33;68.36;14.06;14.29;0.1945;0.00677833378314972;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.17838;0.006808051590919495
30;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.1963;0.0067483802318573;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18126;0.00676151960849762
31;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.2052;0.006676398062705993;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18556;0.006707772378921509
32;53.91;9.0;9.38;27.78;22.66;41.41;60.94;68.36;15.62;14.29;0.2134;0.006632740020751953;67.97;11.0;9.38;31.75;25.39;45.31;63.67;71.09;15.62;16.67;0.18796;0.006660082721710205
33;53.91;9.0;9.38;27.78;23.05;41.41;60.94;68.36;15.62;15.08;0.2158;0.0065606041431427;67.97;11.0;9.38;31.75;25.39;45.31;63.67;70.7;17.19;17.46;0.1939;0.006604590644836426
34;53.91;10.0;9.38;28.57;23.05;41.41;60.94;67.97;15.62;15.08;0.2207;0.006517181921005249;67.97;11.0;9.38;31.75;25.39;45.31;63.67;70.7;17.19;17.46;0.19774;0.006559376096725464
35;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.2237;0.006456803750991821;67.97;12.0;9.38;32.54;25.78;45.31;63.67;70.7;17.19;17.46;0.20318;0.006512025957107544
36;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.23;0.0063999457597732545;67.97;12.0;9.38;32.54;25.78;45.31;63.67;70.7;17.19;17.46;0.20744;0.006454031643867493
37;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.2347;0.006365543174743652;67.97;12.0;9.38;32.54;25.78;45.31;63.67;70.7;17.19;17.46;0.20948;0.006409964599609375
38;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.2409;0.0063086004257202144;67.97;12.0;12.5;32.54;25.78;45.31;63.67;70.7;17.19;17.46;0.21596;0.006351942534446716
39;53.91;10.0;9.38;28.57;23.05;41.8;60.94;67.97;15.62;15.08;0.248;0.006249202799797058;67.97;12.0;12.5;32.54;25.78;45.31;63.28;70.7;17.19;17.46;0.22056;0.006305730872154236
40;53.91;10.0;9.38;28.57;23.44;41.8;60.94;67.97;15.62;15.08;0.2475;0.006227823162078858;67.97;13.0;12.5;32.54;25.78;45.31;63.28;70.31;17.19;17.46;0.22592;0.006265380544662476
41;53.91;11.0;9.38;29.37;23.44;41.8;60.94;67.97;17.19;15.08;0.2534;0.006161134648323059;67.97;13.0;12.5;32.54;25.78;45.31;63.28;70.31;17.19;17.46;0.2298;0.00621946930885315
42;53.91;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2544;0.006121487545967102;67.97;13.0;12.5;32.54;25.78;45.31;63.28;70.31;17.19;17.46;0.23294;0.0061847007179260255
43;53.91;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2515;0.0061184555530548095;67.97;13.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.2354;0.006129161067008972
44;53.91;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2614;0.006053722953796387;67.97;13.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.24154;0.006081008749008179
45;53.91;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2673;0.005989418196678161;67.97;13.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.245;0.006037400584220886
46;54.69;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2702;0.005947993302345276;67.97;14.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.24874;0.005995006518363952
47;54.69;11.0;9.38;29.37;23.44;41.8;60.55;67.97;17.19;15.87;0.2749;0.0058864480257034306;67.97;14.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.25446;0.005950782032012939
48;54.69;11.0;9.38;29.37;23.44;41.8;60.55;67.58;17.19;15.87;0.2766;0.005834609031677246;67.97;14.0;12.5;33.33;26.17;45.31;63.28;70.31;17.19;18.25;0.2567;0.005911910953521729
49;54.69;12.0;9.38;29.37;23.44;41.8;60.55;67.58;17.19;15.87;0.2839;0.005805009627342224;67.97;14.0;12.5;33.33;26.17;45.31;62.89;70.31;18.75;18.25;0.2596;0.005871510190963745
