;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
0;20.31;50.0;1.56;5.47;3.12;7.81;10.55;14.84;8.59;3.12;22.85;26.17;24.22;34.77;36.72;27.73;22.27;3.12;0.6255;0.0800477965325117;70.7;50.0;6.25;17.97;14.06;25.0;26.17;30.08;18.36;12.5;34.96;38.28;37.3;51.95;58.2;53.52;51.76;11.72;0.5615;0.08626355850100517
1;15.62;50.0;3.12;9.38;4.69;11.72;14.84;19.53;10.74;6.25;25.98;29.49;27.15;39.65;40.62;30.47;24.61;6.25;0.6415;0.07927599623799324;66.02;50.0;7.81;20.31;14.84;26.95;28.12;32.03;19.34;14.06;36.13;39.06;37.11;51.76;56.25;50.2;47.46;13.28;0.6009;0.08320601302087308
2;14.45;50.0;4.69;11.72;6.25;14.06;17.97;22.27;11.91;10.94;27.93;31.25;28.71;41.41;41.99;31.25;25.0;7.81;0.712;0.07136368720233441;63.28;50.0;9.38;22.66;15.62;28.52;29.69;33.2;19.73;18.75;36.52;39.45;36.91;51.17;54.49;47.46;44.34;14.84;0.6487;0.07935116425454616
3;12.89;50.0;6.25;14.06;7.42;16.41;19.92;24.61;12.7;12.5;29.49;32.42;29.49;42.58;42.58;31.45;24.22;10.16;0.7185;0.06868614576011896;60.55;50.0;10.94;24.22;16.41;30.08;30.86;33.59;20.12;21.88;36.91;39.45;36.33;50.59;53.12;45.7;41.99;16.41;0.6765;0.07592517767101527
4;9.77;50.0;7.81;16.41;8.2;18.36;21.48;25.78;12.89;15.62;29.88;32.42;28.91;42.19;41.8;30.47;22.85;11.72;0.7525;0.06352699223905801;57.81;50.0;14.06;25.78;16.8;31.25;31.25;33.98;20.12;25.0;37.11;39.26;35.74;50.0;51.95;43.95;39.65;17.97;0.7028;0.07263368710428476
5;8.98;50.0;9.38;17.97;8.98;19.92;22.66;26.56;13.28;18.75;30.27;32.42;28.91;42.19;41.21;29.69;21.48;12.5;0.755;0.06426518408954143;55.47;50.0;17.19;26.56;17.19;32.03;31.64;34.38;20.12;28.12;37.11;38.87;35.16;49.22;50.59;42.19;37.5;19.53;0.7195;0.06935653206706047
6;8.2;50.0;10.94;19.53;9.77;21.09;23.44;27.73;13.48;20.31;30.47;32.42;28.32;41.41;40.23;28.71;20.31;14.06;0.792;0.061063425093889234;53.91;50.0;20.31;27.34;17.58;32.42;32.03;34.77;20.12;29.69;36.91;38.48;34.38;48.44;49.41;40.82;35.74;20.31;0.735;0.06640203918367624
7;7.81;50.0;12.5;20.31;10.16;22.27;24.22;28.12;13.67;23.44;30.47;32.23;27.93;41.21;39.65;27.93;19.53;14.84;0.7815;0.060719867281615734;52.34;50.0;23.44;28.12;17.97;33.2;32.03;34.77;19.92;31.25;36.72;38.09;33.79;47.85;48.44;39.45;34.18;21.09;0.7523;0.06415427484959364
8;7.81;50.0;12.5;21.09;10.55;23.05;25.0;28.91;13.87;25.0;30.66;32.23;27.93;41.02;39.26;27.34;18.95;16.41;0.802;0.055928764879703524;50.78;50.0;25.0;28.12;17.97;33.59;32.42;34.77;19.92;32.81;36.52;37.7;33.4;47.27;47.46;38.28;32.81;21.88;0.7635;0.06199441989436746
9;7.81;50.0;14.06;22.66;10.94;23.83;25.78;29.3;14.06;26.56;30.86;32.23;27.73;40.82;38.87;26.95;18.36;17.19;0.792;0.054205539856106044;49.61;50.0;28.12;28.91;18.36;33.98;32.81;34.77;19.92;34.38;36.52;37.5;33.01;46.88;46.68;37.3;31.64;22.66;0.7726;0.059811520820111035
10;8.2;50.0;15.62;23.44;11.33;24.61;26.56;29.69;14.26;26.56;30.86;32.23;27.54;40.43;38.48;26.56;17.97;17.97;0.8095;0.053262210100889204;48.83;50.0;31.25;28.91;18.75;33.98;32.81;35.16;19.92;35.94;36.52;37.3;32.81;46.48;46.09;36.52;30.66;23.44;0.7794;0.05894154785946012
11;8.2;0.0;17.19;24.22;11.72;25.0;26.95;30.08;14.26;28.12;30.86;32.03;27.15;40.04;37.89;25.78;17.38;18.75;0.823;0.050365642916411164;48.44;50.0;32.81;29.69;18.75;34.38;33.2;35.16;20.12;35.94;36.52;37.3;32.62;46.09;45.51;35.94;29.88;24.22;0.7949;0.056717754932492974
12;8.2;0.0;18.75;24.22;12.11;25.78;27.34;30.47;14.45;29.69;30.86;31.84;26.95;39.84;37.5;25.39;16.99;19.53;0.8125;0.051490410719066855;47.66;50.0;35.94;29.69;19.14;34.77;33.2;35.16;20.12;37.5;36.52;37.3;32.42;45.9;45.12;35.16;29.1;24.22;0.7936;0.056023200640827414
13;8.59;0.0;20.31;25.0;12.5;26.17;27.73;30.86;14.65;31.25;31.05;32.03;26.95;39.65;37.11;25.2;16.6;20.31;0.8205;0.0501263186223805;47.27;50.0;37.5;29.69;19.14;34.77;33.59;35.55;20.31;39.06;36.52;37.11;32.23;45.51;44.53;34.57;28.32;25.0;0.7993;0.05461260772496462
14;8.98;0.0;20.31;25.78;12.89;26.56;28.52;30.86;14.84;32.81;31.25;32.03;27.15;39.65;36.91;25.0;16.41;21.09;0.826;0.04889474941045046;46.88;0.0;39.06;29.69;19.53;35.16;33.59;35.55;20.31;39.06;36.52;36.91;32.03;45.31;44.14;33.98;27.73;25.0;0.811;0.05245117623955011
15;9.38;0.0;21.88;26.56;13.28;26.95;28.91;31.25;15.04;32.81;31.25;32.03;27.15;39.45;36.52;24.61;16.21;21.88;0.8395;0.04644138616696;46.88;0.0;40.62;29.69;19.92;35.16;33.98;35.55;20.51;39.06;36.52;36.91;32.03;45.12;43.75;33.59;27.15;25.78;0.8208;0.051975023356080056
16;9.77;0.0;23.44;26.56;13.67;27.73;29.3;31.64;15.23;34.38;31.45;32.23;27.15;39.26;36.33;24.22;16.02;21.88;0.832;0.04993403174355626;46.88;0.0;42.19;30.47;19.92;35.55;34.38;35.94;20.7;39.06;36.52;36.91;32.03;44.92;43.16;33.01;26.76;25.78;0.8235;0.050422636611759664
