;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-22;eval-saturation_features-25;eval-saturation_features-4;eval-saturation_features-8;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-22;train-saturation_features-25;train-saturation_features-4;train-saturation_features-8;training_accuracy;training_loss
0;3.91;60.0;3.12;7.81;4.69;16.02;33.79;27.93;3.91;3.52;0.6079;0.13926791051626206;60.55;70.0;42.19;40.23;26.56;43.95;59.18;58.59;28.12;26.17;0.42206;0.20051972956180572
1;7.03;70.0;4.69;10.94;7.23;21.09;39.84;32.62;6.25;5.08;0.6741;0.11632956729531288;55.86;70.0;51.56;40.23;29.1;45.51;58.98;56.45;28.91;27.73;0.56938;0.15436930847108363
2;9.77;70.0;7.81;12.5;8.79;24.22;41.99;34.96;7.81;6.64;0.7152;0.10161983263790607;53.12;70.0;56.25;38.28;30.47;46.88;58.59;55.47;28.91;28.12;0.6375;0.13274698679327965
3;12.11;70.0;9.38;13.67;10.35;26.76;43.16;36.52;9.38;7.42;0.7449;0.09301336580216885;51.56;70.0;57.81;35.55;31.64;48.24;58.2;55.08;28.91;27.73;0.67884;0.1182678465616703
4;14.06;70.0;10.94;14.06;11.52;28.52;43.36;37.11;10.16;8.2;0.7683;0.08597919510751963;50.39;80.0;59.38;33.59;32.62;49.22;57.42;54.49;28.91;27.34;0.70644;0.10803735406458378
5;15.62;70.0;12.5;14.45;12.7;30.08;42.97;37.5;11.72;8.98;0.7853;0.07870021931231022;50.0;80.0;60.94;31.64;33.4;50.0;56.25;53.91;28.91;26.95;0.734;0.09939749425053597
6;17.58;80.0;14.06;14.84;13.48;31.45;42.58;37.89;12.5;9.38;0.7957;0.07581100753247738;49.61;80.0;60.94;30.47;34.18;50.78;55.27;53.32;28.91;26.56;0.75098;0.09328171220809221
7;19.14;80.0;15.62;15.23;14.26;32.62;42.19;38.09;13.28;9.77;0.81;0.07224256255179644;49.61;80.0;60.94;29.3;34.57;51.37;54.1;52.93;28.91;25.78;0.76544;0.08791586826592684
8;21.09;80.0;17.19;15.62;14.84;33.59;41.41;38.28;14.06;10.16;0.8258;0.06722504478394985;50.0;80.0;62.5;28.52;35.16;51.95;52.93;52.54;29.69;25.39;0.77962;0.08282449654966592
9;22.66;80.0;18.75;15.62;15.23;34.57;41.02;38.28;14.06;10.55;0.8152;0.07034596306532621;50.39;80.0;62.5;27.34;35.55;52.54;51.95;52.15;29.69;25.39;0.78744;0.08017561128795148
10;23.83;80.0;18.75;16.02;15.82;35.16;40.23;38.28;14.84;10.94;0.8234;0.06533250624686479;50.39;80.0;62.5;26.95;35.94;52.73;50.98;51.76;29.69;25.0;0.80008;0.07528420792669058
11;25.0;80.0;20.31;16.02;16.21;35.74;39.45;38.28;15.62;10.94;0.8339;0.06446764564812184;50.78;80.0;62.5;26.17;36.13;53.12;50.0;51.37;29.69;25.0;0.80626;0.0726806753090024
12;26.17;80.0;21.88;16.02;16.6;36.52;39.06;38.09;16.41;11.33;0.8334;0.06443862507343293;50.78;80.0;62.5;25.78;36.52;53.52;49.22;50.78;29.69;24.61;0.81672;0.06878787601143121
13;27.34;80.0;21.88;16.41;16.99;37.11;38.48;37.89;17.19;11.72;0.8453;0.05862317358851433;51.17;80.0;62.5;25.0;36.72;53.91;48.24;50.39;30.47;24.61;0.82682;0.06571686051309109
14;28.12;80.0;23.44;16.41;17.19;37.7;37.89;37.89;17.19;11.72;0.8296;0.06341000407636166;51.17;80.0;62.5;24.61;36.72;54.1;47.46;49.8;30.47;24.61;0.8306;0.06312970791637898
15;28.91;80.0;25.0;16.41;17.58;38.09;37.11;37.7;17.97;12.11;0.8432;0.05901907898485661;51.17;80.0;62.5;24.61;36.91;54.3;46.48;49.41;30.47;24.61;0.83622;0.061285742474198344
16;29.69;80.0;25.0;16.8;17.77;38.67;36.52;37.5;17.97;12.5;0.8521;0.05691714054197073;51.17;80.0;62.5;24.22;37.11;54.49;45.7;49.02;30.47;24.22;0.84484;0.05876015375316143
17;30.47;80.0;26.56;16.8;18.16;39.06;35.94;37.5;18.75;12.89;0.844;0.05890529618859291;51.17;80.0;62.5;23.83;37.11;54.69;44.92;48.63;30.47;24.22;0.85058;0.056863251104950906
18;31.25;80.0;26.56;16.8;18.55;39.65;35.55;37.5;19.53;12.89;0.8551;0.054414511331915855;51.56;80.0;62.5;23.83;37.3;54.88;44.34;48.44;31.25;24.22;0.85438;0.05435385117650032
19;32.03;80.0;28.12;17.19;18.75;40.04;35.16;37.3;19.53;13.28;0.8555;0.05462389023602009;51.56;80.0;62.5;23.44;37.5;55.08;43.55;48.05;31.25;24.22;0.85982;0.0523520179104805
