;eval-saturation_classifier-2;eval-saturation_classifier-6;eval-saturation_features-0;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-20;eval-saturation_features-23;eval-saturation_features-27;eval-saturation_features-3;eval-saturation_features-30;eval-saturation_features-33;eval-saturation_features-36;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_features-7;test_accuracy;test_loss;train-saturation_classifier-2;train-saturation_classifier-6;train-saturation_features-0;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-20;train-saturation_features-23;train-saturation_features-27;train-saturation_features-3;train-saturation_features-30;train-saturation_features-33;train-saturation_features-36;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_features-7;training_accuracy;training_loss
36;40.62;11.0;31.25;37.5;31.25;46.88;48.44;42.19;33.59;50.0;47.66;50.0;45.31;60.16;64.06;63.28;63.28;34.38;0.315;0.02119171974658966;54.69;13.0;37.5;40.62;32.81;48.44;50.0;43.75;35.16;50.0;49.22;51.56;46.88;61.72;65.62;64.84;64.84;34.38;0.28872;0.021853028621673584
37;40.62;12.0;31.25;37.5;31.25;46.88;48.44;42.19;33.59;50.0;48.44;50.0;46.09;60.16;64.06;63.28;63.28;34.38;0.3195;0.02069682993888855;54.69;13.0;37.5;40.62;32.81;48.44;50.0;43.75;35.16;50.0;50.0;51.56;47.66;61.72;65.62;64.84;64.84;34.38;0.2948;0.02164443383693695
38;40.62;12.0;31.25;37.5;31.25;46.88;48.44;42.19;34.38;50.0;48.44;50.78;46.09;60.16;64.06;63.28;63.28;34.38;0.3242;0.02088553011417389;53.12;13.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.0;52.34;47.66;61.72;65.62;64.84;64.84;34.38;0.29976;0.02141708403110504
39;40.62;12.0;31.25;37.5;31.25;46.88;48.44;42.19;34.38;50.0;48.44;50.78;46.09;60.16;64.06;63.28;63.28;34.38;0.3339;0.02056882736682892;53.12;13.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.0;52.34;47.66;61.72;64.84;64.84;64.84;34.38;0.30362;0.02123198648452759
40;40.62;12.0;31.25;37.5;31.25;46.88;48.44;43.75;34.38;50.0;48.44;50.78;46.09;60.16;64.06;63.28;64.06;34.38;0.3335;0.020455716586112976;53.12;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.0;52.34;47.66;61.72;64.84;64.84;64.84;34.38;0.3154;0.02094493453502655
41;40.62;12.0;31.25;37.5;31.25;46.88;48.44;43.75;34.38;50.0;49.22;50.78;46.88;60.16;64.06;63.28;64.06;34.38;0.3357;0.020586275959014893;53.12;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.0;52.34;47.66;61.72;64.84;64.84;64.84;34.38;0.31808;0.020743336095809937
42;40.62;13.0;31.25;37.5;31.25;48.44;48.44;43.75;34.38;50.0;49.22;51.56;46.88;60.16;64.06;63.28;64.06;34.38;0.343;0.019992191338539123;53.12;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.78;52.34;48.44;61.72;64.84;64.84;64.84;34.38;0.32478;0.020574653120040892
43;40.62;13.0;31.25;37.5;31.25;48.44;48.44;43.75;34.38;50.0;49.22;51.56;46.88;60.16;64.06;63.28;64.06;34.38;0.3463;0.019964745163917542;53.12;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.78;53.12;48.44;61.72;64.84;64.84;64.84;34.38;0.3293;0.02034808452129364
44;40.62;13.0;31.25;37.5;31.25;48.44;48.44;43.75;34.38;50.0;49.22;51.56;46.88;60.16;64.06;63.28;64.06;34.38;0.3583;0.019518620872497557;53.12;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.78;53.12;48.44;61.72;64.84;64.84;64.84;34.38;0.338;0.02013030173778534
45;40.62;13.0;31.25;37.5;31.25;48.44;50.0;43.75;34.38;50.0;49.22;51.56;47.66;60.16;64.06;63.28;64.06;34.38;0.3565;0.01941001057624817;51.56;14.0;37.5;40.62;32.81;48.44;50.0;43.75;35.94;50.0;50.78;53.12;48.44;61.72;65.62;64.84;64.84;34.38;0.34044;0.01998261914730072
46;40.62;13.0;31.25;37.5;31.25;48.44;50.0;43.75;34.38;50.0;50.0;51.56;47.66;60.16;64.06;63.28;64.06;34.38;0.3594;0.019369337248802184;51.56;15.0;37.5;40.62;32.81;50.0;51.56;43.75;36.72;50.0;50.78;53.12;48.44;61.72;65.62;64.84;64.84;34.38;0.34834;0.0197560649728775
47;40.62;13.0;31.25;37.5;31.25;48.44;50.0;43.75;35.16;50.0;50.0;52.34;47.66;60.16;64.06;63.28;64.06;34.38;0.3718;0.018930721187591554;51.56;15.0;37.5;40.62;32.81;50.0;51.56;43.75;36.72;50.0;50.78;53.12;49.22;61.72;65.62;64.84;64.84;34.38;0.3534;0.01957073817253113
48;40.62;13.0;31.25;37.5;31.25;48.44;50.0;43.75;35.16;50.0;50.0;52.34;47.66;60.16;64.06;64.06;64.06;34.38;0.3689;0.01907270748615265;51.56;15.0;37.5;40.62;32.81;50.0;51.56;43.75;36.72;50.0;51.56;53.12;49.22;61.72;65.62;64.84;64.84;34.38;0.35518;0.019375823068618774
49;40.62;14.0;31.25;37.5;31.25;48.44;50.0;43.75;35.16;50.0;50.0;52.34;48.44;60.16;64.06;64.06;64.06;34.38;0.378;0.01867084002494812;51.56;15.0;37.5;40.62;32.81;50.0;51.56;45.31;36.72;50.0;51.56;53.91;49.22;61.72;65.62;64.84;64.84;34.38;0.3596;0.019283851990699766
