;training_loss;training_accuracy;test_loss;test_accuracy;eval-saturation_features-0;eval-saturation_features-3;eval-saturation_features-7;eval-saturation_features-10;eval-saturation_features-14;eval-saturation_features-17;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_classifier-2;eval-saturation_classifier-6;train-saturation_features-0;train-saturation_features-3;train-saturation_features-7;train-saturation_features-10;train-saturation_features-14;train-saturation_features-17;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_classifier-2;train-saturation_classifier-6
0;0.13228319921016693;0.04914;0.1216110656261444;0.0896;50.0;50.0;25.0;37.5;25.0;25.0;18.75;21.88;18.75;9.38;25.0;3.0;75.0;75.0;37.5;62.5;50.0;56.25;56.25;62.5;59.38;40.62;43.75;10.0
1;0.12322076749324798;0.08014;0.11680965254306794;0.105;50.0;50.0;37.5;37.5;31.25;37.5;25.0;34.38;25.0;12.5;25.0;4.0;75.0;75.0;37.5;62.5;50.0;56.25;53.12;62.5;50.0;31.25;37.5;11.0
2;0.11994533681869507;0.09218;0.11395096399784088;0.1179;50.0;50.0;37.5;50.0;31.25;50.0;28.12;40.62;28.12;15.62;31.25;6.0;75.0;50.0;37.5;62.5;50.0;62.5;53.12;62.5;46.88;28.12;37.5;11.0
3;0.11795071601867675;0.10014;0.11148525211811065;0.134;50.0;50.0;37.5;50.0;37.5;50.0;34.38;46.88;31.25;18.75;37.5;6.0;75.0;50.0;37.5;62.5;50.0;62.5;53.12;65.62;43.75;28.12;43.75;12.0
4;0.1165248370027542;0.10796;0.11004026885032654;0.1445;50.0;50.0;37.5;50.0;37.5;56.25;34.38;50.0;34.38;18.75;37.5;7.0;75.0;50.0;37.5;50.0;50.0;62.5;53.12;65.62;43.75;28.12;43.75;12.0
5;0.11523832227230071;0.11714;0.10731308784484864;0.1681;50.0;50.0;37.5;50.0;37.5;56.25;37.5;50.0;34.38;21.88;37.5;7.0;75.0;50.0;50.0;50.0;43.75;62.5;53.12;65.62;43.75;28.12;43.75;12.0
6;0.11393517032146454;0.12374;0.10630166285037994;0.1713;50.0;50.0;37.5;50.0;37.5;62.5;40.62;53.12;37.5;21.88;37.5;7.0;75.0;50.0;50.0;50.0;43.75;62.5;56.25;65.62;43.75;28.12;43.75;12.0
7;0.11316588992118835;0.1296;0.10502679586410522;0.1775;50.0;50.0;37.5;50.0;37.5;62.5;40.62;56.25;37.5;21.88;37.5;8.0;75.0;50.0;50.0;50.0;43.75;62.5;56.25;65.62;40.62;28.12;43.75;12.0
8;0.11222599555015564;0.13372;0.10418047375679017;0.1855;50.0;50.0;37.5;50.0;37.5;62.5;43.75;56.25;37.5;21.88;37.5;8.0;75.0;50.0;37.5;50.0;43.75;62.5;56.25;65.62;40.62;28.12;43.75;13.0
9;0.11173464625358581;0.13612;0.1033188803434372;0.1848;50.0;50.0;37.5;50.0;37.5;62.5;43.75;59.38;37.5;21.88;43.75;8.0;75.0;50.0;37.5;50.0;43.75;62.5;56.25;65.62;40.62;28.12;43.75;13.0
